Country,Total_Cases,New_Cases,Total_Death
Australia,"28,198",+26,908 
Cameroon,"25,849",,448 
Sudan,"22,823",,"1,434 "
Estonia,"22,083",+287,181 
Ivory Coast,"21,918",,133 
Zambia,"18,716",,373 
Namibia,"18,714",,177 
Senegal,"17,758",,365 
Cyprus,"17,688",,91 
Madagascar,"17,633",,260 
Mozambique,"17,568",,148 
Angola,"16,644",,387 
French Polynesia,"16,182",,103 
DRC,"15,495",,370 
Guinea,"13,545",,80 
Maldives,"13,493",,48 
Uruguay,"13,048",,119 
Botswana,"13,014",,38 
Tajikistan,"12,960",,89 
Mauritania,"12,418",,281 
French Guiana,"12,369",,71 
Zimbabwe,"12,325",,320 
Jamaica,"12,224",,286 
Malta,"11,714",,190 
Cabo Verde,"11,579",,111 
Syria,"10,195",,610 
Cuba,"10,127",,137 
Belize,"10,095",,220 
Haiti,"9,674",,234 
Gabon,"9,400",,64 
Réunion,"8,704",,42 
Guadeloupe,"8,524",,154 
Hong Kong,"8,238",+85,130 
Bahamas,"7,765",+19,164 
Andorra,"7,577",,81 
Eswatini,"7,427",,140 
Rwanda,"7,293",,63 
Trinidad and Tobago,"7,000",,123 
Congo,"6,200",,100 
Mali,"6,191",,222 
Malawi,"6,161",,187 
Guyana,"6,125",,159 
Nicaragua,"5,938",,163 
Djibouti,"5,781",,61 
Mayotte,"5,708",,53 
Iceland,"5,642",,28 
Martinique,"5,634",,42 
Suriname,"5,552",,118 
Thailand,"5,289",+382,60 
Equatorial Guinea,"5,214",,85 
Aruba,"5,163",,47 
Burkina Faso,"5,160",,76 
CAR,"4,936",,63 
Somalia,"4,662",,124 
Curaçao,"3,947",,11 
Gambia,"3,786",,123 
Togo,"3,416",,66 
South Sudan,"3,228",,62 
Benin,"3,167",,44 
Niger,"2,659",,87 
Channel Islands,"2,629",,52 
Lesotho,"2,546",,48 
Sierra Leone,"2,509",,75 
Guinea-Bissau,"2,447",,44 
New Zealand,"2,121",+5,25 
San Marino,"2,107",,55 
Yemen,"2,087",,606 
Chad,"1,890",,102 
Liberia,"1,779",,83 
Liechtenstein,"1,758",,25 
Vietnam,"1,413",,35 
Sint Maarten,"1,328",,26 
Gibraltar,"1,244",,6 
Sao Tome and Principe,"1,012",,17 
Mongolia,993,+32, 
Saint Martin,918,,12 
Turks and Caicos,798,,6 
Taiwan,766,,7 
Burundi,761,,2 
Papua New Guinea,760,,8 
Eritrea,754,, 
Monaco,728,,3 
Comoros,666,,7 
Faeroe Islands,546,, 
Bermuda,527,,9 
Mauritius,524,,10 
Tanzania,509,,21 
Bhutan,467,+21, 
Isle of Man,373,,25 
Cambodia,363,+1, 
Cayman Islands,311,,2 
Barbados,307,,7 
Saint Lucia,287,,5 
Seychelles,202,, 
Caribbean Netherlands,179,,3 
St. Barth,175,,1 
Antigua and Barbuda,153,,5 
Brunei ,152,,3 
St. Vincent Grenadines,104,, 
Grenada,103,, 
Dominica,88,, 
British Virgin Islands,86,,1 
Fiji,46,,2 
Macao,46,, 
Laos,41,, 
New Caledonia,37,, 
Timor-Leste,31,, 
Saint Kitts and Nevis,30,, 
Vatican City,27,, 
Falkland Islands,23,, 
Greenland,19,, 
Solomon Islands,17,, 
Saint Pierre Miquelon,14,, 
Montserrat,13,,1 
Western Sahara,10,,1 
Anguilla,10,, 
Marshall Islands,4,, 
Wallis and Futuna,4,, 
Samoa,2,, 
Vanuatu,1,, 
USA,"18,267,579","+183,223","324,869 "
India,"10,056,248","+24,589","145,843 "
Brazil,"7,238,600","+25,445","186,773 "
Russia,"2,848,377","+28,948","50,858 "
France,"2,473,354","+12,799","60,549 "
UK,"2,040,147","+35,928","67,401 "
Turkey,"2,024,601","+20,316","18,097 "
Italy,"1,953,185","+15,104","68,799 "
Spain,"1,817,448",,"48,926 "
Argentina,"1,541,285","+4,116","41,813 "
Germany,"1,514,783","+20,822","26,764 "
Colombia,"1,507,222","+11,160","40,475 "
Mexico,"1,313,675","+12,129","117,876 "
Poland,"1,202,700","+8,594","25,397 "
Iran,"1,158,384","+6,312","53,625 "
Peru,"997,517","+1,618","37,103 "
Ukraine,"964,448","+8,325","16,585 "
South Africa,"921,922","+9,445","24,691 "
Netherlands,"689,705","+13,032","10,491 "
Indonesia,"664,930","+6,982","19,880 "
Czechia,"624,159","+5,297","10,376 "
Belgium,"623,760","+2,721","18,545 "
Romania,"591,294","+3,350","14,394 "
Chile,"585,545","+2,191","16,154 "
Iraq,"584,145","+1,027","12,697 "
Canada,"507,795","+6,201","14,228 "
Bangladesh,"500,713","+1,153","7,280 "
Philippines,"459,784","+1,749","8,947 "
Pakistan,"457,176","+2,503","9,330 "
Morocco,"417,125","+1,899","6,957 "
Switzerland,"403,989",,"6,622 "
Israel,"374,760","+1,874","3,099 "
Portugal,"374,121","+3,334","6,134 "
Sweden,"367,120",,"7,993 "
Saudi Arabia,"361,010",+162,"6,122 "
Austria,"338,854","+1,645","5,351 "
Hungary,"302,989","+2,967","8,099 "
Serbia,"300,062","+3,534","2,686 "
Jordan,"274,949","+2,152","3,568 "
Nepal,"253,772",+588,"1,788 "
Panama,"212,339","+2,755","3,566 "
Georgia,"208,638","+1,731","2,094 "
Ecuador,"206,257",+337,"13,948 "
Azerbaijan,"202,088","+2,961","2,210 "
Japan,"195,880","+2,849","2,873 "
Croatia,"194,962","+1,975","3,177 "
UAE,"193,575","+1,171",637 
Bulgaria,"191,195",+166,"6,609 "
Belarus,"173,523","+1,944","1,324 "
Dominican Republic,"160,386","+1,322","2,384 "
Lebanon,"158,104","+1,534","1,281 "
Costa Rica,"157,472",,"1,996 "
Armenia,"153,825",+652,"2,630 "
Slovakia,"151,336","+2,061","1,555 "
Bolivia,"149,770",+621,"9,035 "
Kuwait,"147,979",+204,921 
Kazakhstan,"146,584",+652,"2,147 "
Qatar,"142,001",+143,243 
Moldova,"135,207",+629,"2,752 "
Denmark,"134,434","+2,828","1,035 "
Guatemala,"132,765",+170,"4,656 "
Greece,"131,072",+587,"4,172 "
Oman,"127,667",+648,"1,488 "
Egypt,"125,555",+664,"7,098 "
Palestine,"122,643","+1,427","1,141 "
Tunisia,"120,687","+1,536","4,158 "
Ethiopia,"119,951",+457,"1,853 "
Honduras,"116,860",+648,"3,025 "
Myanmar,"116,134",+947,"2,443 "
Lithuania,"112,357","+2,925","1,019 "
Venezuela,"110,075",+294,988 
Slovenia,"105,899",+884,"2,353 "
Bosnia and Herzegovina,"105,524",,"3,625 "
Paraguay,"99,789",+632,"2,088 "
Algeria,"95,203",+422,"2,666 "
Libya,"94,560",+788,"1,353 "
Kenya,"94,500",+349,"1,639 "
Malaysia,"93,309","+1,340",437 
Bahrain,"90,282",+220,349 
China,"86,829",+23,"4,634 "
Ireland,"79,542",+766,"2,158 "
Kyrgyzstan,"79,122",+211,"1,330 "
Nigeria,"78,434",+501,"1,221 "
North Macedonia,"78,305",+356,"2,292 "
Uzbekistan,"75,933",+127,612 
Singapore,"58,422",+19,29 
Ghana,"53,653",,331 
Albania,"53,003",+461,"1,088 "
Afghanistan,"50,677",+141,"2,110 "
S. Korea,"49,665","+1,095",674 
Luxembourg,"44,491",+424,444 
Montenegro,"43,955",+246,626 
Norway,"43,905",+323,404 
El Salvador,"43,477",+282,"1,250 "
Sri Lanka,"37,261",+594,176 
Finland,"33,162",+309,489 
Uganda,"31,187",+485,231 
Latvia,"30,940",+643,439 
Australia,"28,172",+44,908 
Cameroon,"25,849",+125,448 
Sudan,"22,823",+202,"1,434 "
Ivory Coast,"21,918",+28,133 
Estonia,"21,796",+581,174 
Zambia,"18,716",+96,373 
Namibia,"18,714",+277,177 
Senegal,"17,758",+88,365 
Cyprus,"17,688",+212,91 
Madagascar,"17,633",+46,260 
Mozambique,"17,568",+91,148 
Angola,"16,644",+18,387 
French Polynesia,"16,182",,103 
DRC,"15,495",+98,370 
Guinea,"13,545",+13,80 
Maldives,"13,493",+19,48 
Uruguay,"13,048",+491,119 
Botswana,"13,014",,38 
Tajikistan,"12,960",+37,89 
Mauritania,"12,418",+140,281 
French Guiana,"12,369",,71 
Zimbabwe,"12,325",+174,320 
Jamaica,"12,224",+89,286 
Malta,"11,714",+93,190 
Cabo Verde,"11,579",+12,111 
Syria,"10,195",+145,610 
Cuba,"10,127",+103,137 
Belize,"10,095",+72,220 
Haiti,"9,674",,234 
Gabon,"9,400",,64 
Réunion,"8,704",,42 
Guadeloupe,"8,524",,154 
Hong Kong,"8,153",+74,130 
Bahamas,"7,746",+13,164 
Andorra,"7,577",+17,81 
Eswatini,"7,427",+122,140 
Rwanda,"7,293",+61,63 
Trinidad and Tobago,"7,000",+26,123 
Congo,"6,200",,100 
Mali,"6,191",+27,222 
Malawi,"6,161",+8,187 
Guyana,"6,125",+20,159 
Nicaragua,"5,938",,163 
Djibouti,"5,781",,61 
Mayotte,"5,708",,53 
Iceland,"5,642",+21,28 
Martinique,"5,634",,42 
Suriname,"5,552",+41,118 
Equatorial Guinea,"5,214",,85 
Aruba,"5,163",+8,47 
Burkina Faso,"5,160",+206,76 
CAR,"4,936",,63 
Thailand,"4,907",+576,60 
Somalia,"4,662",,124 
Curaçao,"3,947",+27,11 
Gambia,"3,786",,123 
Togo,"3,416",+20,66 
South Sudan,"3,228",,62 
Benin,"3,167",+15,44 
Niger,"2,659",+47,87 
Channel Islands,"2,629",+103,52 
Lesotho,"2,546",,48 
Sierra Leone,"2,509",+12,75 
Guinea-Bissau,"2,447",,44 
New Zealand,"2,116",+6,25 
San Marino,"2,107",,55 
Yemen,"2,087",,606 
Chad,"1,890",+23,102 
Liberia,"1,779",,83 
Liechtenstein,"1,758",+47,25 
Vietnam,"1,413",+2,35 
Sint Maarten,"1,328",+5,26 
Gibraltar,"1,244",+33,6 
Sao Tome and Principe,"1,012",,17 
Mongolia,961,+8, 
Saint Martin,918,,12 
Turks and Caicos,798,+9,6 
Taiwan,766,+3,7 
Burundi,761,,2 
Papua New Guinea,760,,8 
Eritrea,754,, 
Monaco,728,+5,3 
Comoros,666,+23,7 
Faeroe Islands,546,+7, 
Bermuda,527,+11,9 
Mauritius,524,,10 
Tanzania,509,,21 
Bhutan,446,+3, 
Isle of Man,373,,25 
Cambodia,362,, 
Cayman Islands,311,,2 
Barbados,307,,7 
Saint Lucia,287,+5,5 
Seychelles,202,, 
Caribbean Netherlands,179,,3 
St. Barth,175,,1 
Antigua and Barbuda,153,+1,5 
Brunei ,152,,3 
St. Vincent Grenadines,104,+4, 
Grenada,103,+9, 
Dominica,88,, 
British Virgin Islands,86,,1 
Fiji,46,,2 
Macao,46,, 
Laos,41,, 
New Caledonia,37,, 
Timor-Leste,31,, 
Saint Kitts and Nevis,30,, 
Vatican City,27,, 
Falkland Islands,23,, 
Greenland,19,, 
Solomon Islands,17,, 
Saint Pierre Miquelon,14,, 
Montserrat,13,,1 
Western Sahara,10,,1 
Anguilla,10,, 
Marshall Islands,4,, 
Wallis and Futuna,4,, 
Samoa,2,, 
Vanuatu,1,, 
USA,"18,084,356","+195,997","323,455 "
India,"10,031,659","+26,834","145,513 "
Brazil,"7,213,155","+49,243","186,356 "
Russia,"2,819,429","+28,209","50,347 "
France,"2,460,555","+17,565","60,418 "
Turkey,"2,004,285","+22,195","17,851 "
UK,"2,004,219","+27,052","67,075 "
Italy,"1,938,081","+16,306","68,447 "
Spain,"1,817,448",,"48,926 "
Argentina,"1,537,169","+5,795","41,763 "
Colombia,"1,496,062","+13,990","40,268 "
Germany,"1,493,961","+23,970","26,414 "
Mexico,"1,301,546","+12,248","117,249 "
Poland,"1,194,106","+11,263","25,254 "
Iran,"1,152,072","+6,421","53,448 "
Peru,"995,899","+2,139","37,034 "
Ukraine,"956,123","+11,742","16,469 "
South Africa,"912,477","+10,939","24,539 "
Netherlands,"676,673","+12,217","10,459 "
Indonesia,"657,948","+7,751","19,659 "
Belgium,"621,039","+2,835","18,455 "
Czechia,"618,862","+8,824","10,303 "
Romania,"587,944","+5,158","14,296 "
Chile,"583,354","+2,219","16,101 "
Iraq,"583,118","+1,307","12,680 "
Canada,"501,594","+6,248","14,154 "
Bangladesh,"499,560","+1,267","7,242 "
Philippines,"458,035","+1,482","8,911 "
Pakistan,"454,673","+3,179","9,250 "
Morocco,"415,226","+2,833","6,909 "
Switzerland,"403,989",,"6,602 "
Israel,"372,886","+2,734","3,074 "
Portugal,"370,787","+3,835","6,063 "
Sweden,"367,120",,"7,993 "
Saudi Arabia,"360,848",+158,"6,112 "
Austria,"337,209","+2,296","5,209 "
Hungary,"300,022","+4,045","7,914 "
Serbia,"296,528","+3,888","2,632 "
Jordan,"272,797","+1,283","3,545 "
Nepal,"253,184",+710,"1,777 "
Panama,"209,584","+3,274","3,527 "
Georgia,"206,907","+2,904","2,055 "
Ecuador,"205,920",+917,"13,948 "
Azerbaijan,"199,127","+3,705","2,175 "
Japan,"193,031","+2,893","2,828 "
Croatia,"192,987","+2,752","3,101 "
UAE,"192,404","+1,254",634 
Bulgaria,"191,029","+1,002","6,551 "
Belarus,"171,579","+1,931","1,316 "
Dominican Republic,"159,064","+1,135","2,382 "
Costa Rica,"157,472",,"1,996 "
Lebanon,"156,570","+1,626","1,270 "
Armenia,"153,173",+920,"2,616 "
Slovakia,"149,275","+3,151","1,510 "
Bolivia,"149,149",+484,"9,033 "
Kuwait,"147,775",+244,918 
Kazakhstan,"145,932",+719,"2,147 "
Qatar,"141,858",+142,243 
Moldova,"134,578","+1,218","2,727 "
Guatemala,"132,595",+533,"4,624 "
Denmark,"131,606","+3,285","1,019 "
Greece,"130,485",+901,"4,102 "
Oman,"127,019",,"1,483 "
Egypt,"124,891",+611,"7,069 "
Palestine,"121,216","+1,604","1,117 "
Ethiopia,"119,494",+469,"1,846 "
Tunisia,"119,151","+1,569","4,126 "
Honduras,"116,212",+738,"3,023 "
Myanmar,"115,187",+989,"2,424 "
Venezuela,"109,781",+386,984 
Lithuania,"109,432","+3,222","1,005 "
Bosnia and Herzegovina,"105,524",+643,"3,625 "
Slovenia,"105,015","+1,460","2,314 "
Paraguay,"99,157",+861,"2,072 "
Algeria,"94,781",+410,"2,659 "
Kenya,"94,151",+390,"1,633 "
Libya,"93,772",,"1,346 "
Malaysia,"91,969","+1,153",433 
Bahrain,"90,062",+179,349 
China,"86,806",+17,"4,634 "
Kyrgyzstan,"78,911",+232,"1,328 "
Ireland,"78,776",+522,"2,154 "
North Macedonia,"77,949",+815,"2,274 "
Nigeria,"77,933",+920,"1,218 "
Uzbekistan,"75,806",+131,612 
Singapore,"58,403",+17,29 
Ghana,"53,653",,331 
Albania,"52,542",+538,"1,074 "
Afghanistan,"50,536",+91,"2,054 "
S. Korea,"48,570","+1,053",659 
Luxembourg,"44,067",+339,440 
Montenegro,"43,709",+319,624 
Norway,"43,582",+375,404 
El Salvador,"43,195",+281,"1,242 "
Sri Lanka,"36,667",+618,171 
Finland,"32,853",+271,489 
Uganda,"30,702",+631,230 
Latvia,"30,297",+870,427 
Australia,"28,128",+34,908 
Cameroon,"25,724",+252,445 
Sudan,"22,621",+356,"1,425 "
Ivory Coast,"21,890",+45,133 
Estonia,"21,215",+557,170 
Zambia,"18,620",+45,373 
Namibia,"18,437",+396,171 
Senegal,"17,670",+111,361 
Madagascar,"17,587",,259 
Mozambique,"17,477",+139,147 
Cyprus,"17,476",+419,89 
Angola,"16,626",+64,386 
French Polynesia,"16,182",,103 
DRC,"15,397",+185,369 
Guinea,"13,532",+21,80 
Maldives,"13,474",+30,48 
Botswana,"13,014",,38 
Tajikistan,"12,923",+35,89 
Uruguay,"12,557",+607,114 
French Guiana,"12,369",+88,71 
Mauritania,"12,278",+232,273 
Zimbabwe,"12,151",+104,318 
Jamaica,"12,135",+96,285 
Malta,"11,621",+52,187 
Cabo Verde,"11,567",+41,111 
Syria,"10,050",+122,601 
Cuba,"10,024",+131,137 
Belize,"10,023",+94,216 
Haiti,"9,674",+26,234 
Gabon,"9,400",,64 
Réunion,"8,704",,42 
Guadeloupe,"8,524",,154 
Hong Kong,"8,079",+109,129 
Bahamas,"7,733",,164 
Andorra,"7,560",+41,80 
Eswatini,"7,305",+103,137 
Rwanda,"7,232",+127,59 
Trinidad and Tobago,"6,974",+19,123 
Congo,"6,200",,100 
Mali,"6,164",+44,220 
Malawi,"6,153",+5,187 
Guyana,"6,105",+29,159 
Nicaragua,"5,938",,163 
Djibouti,"5,781",+1,61 
Mayotte,"5,708",,53 
Martinique,"5,634",,42 
Iceland,"5,621",+17,28 
Suriname,"5,511",+52,118 
Equatorial Guinea,"5,214",,85 
Aruba,"5,155",+17,47 
Burkina Faso,"4,954",+122,74 
CAR,"4,936",,63 
Somalia,"4,662",,124 
Thailand,"4,331",+34,60 
Curaçao,"3,920",+39,11 
Gambia,"3,786",,123 
Togo,"3,396",+46,66 
South Sudan,"3,228",,62 
Benin,"3,152",,44 
Niger,"2,612",+52,86 
Lesotho,"2,546",,48 
Channel Islands,"2,526",+137,52 
Sierra Leone,"2,497",+11,75 
Guinea-Bissau,"2,447",,44  
New Zealand,"2,110",,25 
San Marino,"2,107",+35,55 
Yemen,"2,087",,606 
Chad,"1,867",+28,102 
Liberia,"1,779",,83 
Liechtenstein,"1,711",+35,25 
Vietnam,"1,411",+1,35 
Sint Maarten,"1,323",+8,26 
Gibraltar,"1,211",+27,6 
Sao Tome and Principe,"1,012",+1,17 
Mongolia,953,+12, 
Saint Martin,918,,12 
Turks and Caicos,789,+8,6 
Taiwan,763,+4,7 
Burundi,761,+1,2 
Papua New Guinea,760,,8 
Eritrea,754,+13, 
Monaco,723,+8,3 
Comoros,643,,7 
Faeroe Islands,539,+5, 
Mauritius,524,,10 
Bermuda,516,+19,9 
Tanzania,509,,21 
Bhutan,443,+1, 
Isle of Man,373,,25 
Cambodia,362,, 
Cayman Islands,311,,2 
Barbados,307,,7 
Saint Lucia,282,+2,5 
Seychelles,202,, 
Caribbean Netherlands,179,+2,3 
St. Barth,175,,1 
Antigua and Barbuda,152,,5 
Brunei ,152,,3 
St. Vincent Grenadines,100,, 
Grenada,94,, 
Dominica,88,, 
British Virgin Islands,86,+6,1 
Fiji,46,,2 
Macao,46,, 
Laos,41,, 
New Caledonia,37,, 
Timor-Leste,31,, 
Saint Kitts and Nevis,30,, 
Vatican City,27,, 
Falkland Islands,23,, 
Greenland,19,, 
Solomon Islands,17,, 
Saint Pierre Miquelon,14,, 
Montserrat,13,,1 
Western Sahara,10,,1 
Anguilla,10,, 
Marshall Islands,4,, 
Wallis and Futuna,4,, 
Samoa,2,, 
Vanuatu,1,, 
